text,sentiment
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",-1
"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",0
The value of the deal was not disclosed .,0
"You need to be ready when the window opens up , Rosberg said .",0
Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,1
Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,0
"The other actions include the cutting of the expensive weekend shifts , the freezing of the production bonus system and by a general cost-cutting program .",0
NetCom expects to complete Turbo 3G deployment in these areas this year .,0
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",1
The dividends payable annually shall be deducted from the share subscription price .,0
"The previously concluded adaptation measures , concerning other staff , were adequate for the time being , and the planning operations continue as before at the plant , the company said .",1
Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1.1 mn in the second quarter of 2007 .,0
"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .",-1
"The vessels also have to be environmentally friendly , fast , and have all modern conveniences .",0
"Paper company M-real calculated that if 100,000 biscuit cartons are made using a 25gsm lighter board , the CO2 saved over the course of 12 months would be equal to that generated by driving 1,000 km by car .",0
This is the first time Finnair has been awarded an agreement with the UK government .,1
Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .,0
"In the automobile space , Maruti is the most searched brand in cars .",0
It will provide heating in the form of hot water for the sawmill 's needs .,0
"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",1
"As part of its new strategy , Finnish Biohit is planning to incorporate its diagnostics business into a separate limited company .",0
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",-1
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,-1
The company is listed on the Nordic Exchange in Helsinki .,0
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,0
The value of orders on hand totaled EUR 237.1 mn .,0
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,1
UPM-Kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions .,1
Another firm Air Liquide was exempted because it left the market in 1998 .,0
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",1
Return on capital employed rose by 4.8 percentage points to 19.6 % .,1
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",1
The effect of the savings will be noticeable from the beginning of 2010 .,0
It helps our stakeholders get a better understanding of our operations and the challenges in stainless steel business .,0
Autotank Group is part of Aspo 's Systems Division .,0
Earnings per share were EUR -0.04 -0.06 .,0
credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,1
"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",1
"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company .",0
Sales of security and system packaging increased slightly .,1
"H+_kan Dahlstr+¦m , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014 .",1
"We offer challenging and interesting employment for over 20,000 people in 20 countries throughout Europe .",0
